회사명,corp_code,stock_code,연도,ESG,재무제표,부채총계,영업이익,법인세차감전 순이익
현대바이오랜드,347062,52260,2022,A,"176,097,325,723","46,810,705,161","9,054,708,903","6,844,226,328"
에스티팜,871833,237690,2022,B+,"578,679,154,922","229,549,274,594","17,851,415,161","19,237,033,364"
삼양홀딩스,126937,70,2022,B+,"4,547,781,000,000","2,024,270,000,000","132,324,000,000","126,664,000,000"
하이트진로,150244,80,2022,B,"3,333,438,311,387","2,172,409,936,540","190,571,249,139","121,380,678,145"
유한양행,145109,100,2022,B+,"2,472,728,072,149","464,921,702,703","36,028,967,211","94,926,373,488"
하이트진로홀딩스,148993,140,2022,B,"3,945,000,964,667","2,779,584,712,819","202,502,517,207","110,076,574,030"
삼화페인트공업,129387,390,2022,B,"587,186,274,133","287,461,316,451","19,854,394,322","10,671,560,929"
대동,109286,490,2022,D,"1,713,773,205,581","1,241,782,449,283","88,279,120,517","57,555,933,360"
가온전선,104768,500,2022,B,"752,332,445,010","449,261,889,191","28,462,568,691","13,296,874,869"
유수홀딩스,163691,700,2022,B+,"524,926,064,872","79,255,169,817","29,646,246,718","43,546,308,479"
동국제강,114792,1230,2022,B,"6,451,247,796,882","3,164,636,526,811","743,493,091,943","547,679,373,077"
GS글로벌,138190,1250,2022,B+,"1,419,412,958,453","1,012,698,524,738","70,467,603,982","61,122,260,907"
종근당홀딩스,149354,1630,2022,B+,"1,376,372,969,554","577,829,023,460","-32,878,294,931","-24,708,272,309"
DL건설,128971,1880,2022,A,"1,746,816,807,975","748,120,988,544","81,072,831,792","84,339,671,528"
아세아,138701,2030,2022,B+,"3,182,375,948,080","1,317,598,873,795","232,577,852,131","210,386,129,580"
도화엔지니어링,114552,2150,2022,C,"522,590,275,567","255,273,456,899","11,939,896,822","2,914,383,294"
고려제강,103006,2240,2022,D,"2,532,768,398,255","805,246,239,566","133,503,465,388","112,085,847,739"
넥센타이어,173874,2350,2022,B+,"3,944,336,739,608","2,348,104,911,877","-54,253,533,449","-40,312,984,401"
케이씨씨,105271,2380,2022,A,"13,118,486,307,658","7,567,347,802,320","467,661,528,938","111,953,952,629"
SUN&L,132211,2820,2022,C,"524,434,319,704","373,988,182,288","-17,708,726,754","-17,208,554,984"
세아제강지주,124197,3030,2022,B,"3,572,067,658,664","1,591,270,344,983","567,163,868,807","531,476,493,894"
일신방직,146269,3200,2022,D,"1,176,745,986,062","272,298,156,963","-16,000,918,451","161,202,685,885"
태광산업,153393,3240,2022,D,"4,910,005,420,529","702,185,269,043","-122,074,282,364","-45,552,759,314"
한일홀딩스,162993,3300,2022,C,"3,268,041,346,024","1,220,879,131,264","132,506,014,100","127,641,079,488"
영진약품,141149,3520,2022,B+,"203,082,817,375","113,212,626,317","-7,363,158,868","-22,812,771,530"
대한화섬,113544,3830,2022,C,"836,764,531,649","122,779,864,954","6,382,961,691","23,763,677,403"
남양유업,107598,3920,2022,C,"902,259,070,497","164,307,809,198","-86,806,775,040","-97,220,020,759"
사조대림,109718,3960,2022,C,"1,168,252,667,285","564,420,178,134","97,652,234,741","85,136,003,481"
한국석유공업,157991,4090,2022,B,"347,065,524,190","183,328,538,761","17,997,729,590","13,889,493,769"
농심,108241,4370,2022,C,"3,034,718,535,547","719,378,356,883","112,172,856,716","158,840,599,107"
삼익THK,127802,4380,2022,C,"444,027,583,867","233,318,683,388","20,638,429,209","19,693,674,216"
서울식품공업,130879,4410,2022,D,"70,853,362,024","42,534,581,355","1,310,279,754","841,772,580"
삼천리,128555,4690,2022,C,"5,021,952,466,150","3,482,673,623,260","91,236,419,550","93,637,749,746"
DRB동일,118266,4840,2022,C,"945,238,494,728","465,469,810,224","12,110,321,241","9,110,890,625"
성신양회,132804,4980,2022,C,"1,187,583,002,030","791,369,380,223","1,833,600,738","-26,120,978,097"
SGC에너지,125150,5090,2022,B+,"3,054,362,176,494","2,187,874,937,878","209,400,218,379","198,427,676,801"
녹십자홀딩스,108135,5250,2022,B+,"3,592,060,734,923","1,625,017,215,651","71,159,596,357","29,629,471,910"
SPC삼립,125530,5610,2022,B,"1,295,399,585,606","906,290,707,171","89,513,471,496","70,782,876,250"
넥센,167192,5720,2022,B+,"4,726,896,214,044","2,595,712,644,048","-22,542,977,056","-3,114,497,630"
에스엘,125521,5850,2022,B+,"2,931,636,940,305","1,225,627,791,292","197,915,409,993","215,698,969,074"
삼성전자,126380,5930,2022,A,"448,424,507,000,000","93,674,903,000,000","43,376,630,000,000","46,440,474,000,000"
화승인더스트리,166227,6060,2022,C,"1,779,489,488,972","1,119,839,945,881","73,297,899,437","20,390,231,128"
녹십자,129679,6280,2022,B+,"2,525,537,081,269","958,895,150,180","81,263,665,843","85,727,859,933"
한일현대시멘트,164672,6390,2022,B+,"649,126,013,507","285,245,441,672","35,168,293,521","44,443,694,696"
AK홀딩스,125080,6840,2022,B+,"5,004,334,961,394","3,721,996,781,791","-21,822,473,627","-120,183,179,682"
사조산업,124799,7160,2022,C,"1,166,611,978,191","523,375,978,943","55,173,554,439","76,973,016,074"
이수페타시스,107613,7660,2022,C,"546,014,160,739","323,686,082,261","116,618,143,622","107,829,664,836"
F&F 홀딩스,126487,7700,2022,B,"3,595,118,444,613","706,086,461,437","486,231,560,356","580,405,942,635"
서연,163114,7860,2022,B+,"2,323,543,346,933","1,319,636,711,049","188,572,721,382","157,391,284,290"
한솔로지스틱스,140946,9180,2022,B+,"274,496,248,985","171,990,567,169","36,349,586,827","30,450,141,909"
태영건설,153861,9410,2022,B+,"4,323,308,266,498","3,582,445,702,772","91,547,554,846","76,027,336,617"
경동나비엔,101488,9450,2022,C,"1,018,019,428,372","500,314,843,682","59,770,841,498","72,724,310,765"
삼성중공업,126478,10140,2022,B+,"14,491,697,984,864","10,919,760,587,958","-854,420,950,816","-554,711,265,360"
화신,166315,10690,2022,C,"1,004,620,994,499","647,757,403,677","87,362,958,755","95,109,032,046"
아이에스동서,115977,10780,2022,B+,"3,737,786,456,047","2,131,652,333,747","345,076,330,100","285,969,297,618"
금호석유화학,106368,11780,2022,A,"7,719,272,223,622","2,065,857,046,026","1,147,745,512,728","1,251,576,092,191"
계양전기,102618,12200,2022,C,"297,554,555,403","169,633,025,975","-10,631,134,052","-29,426,360,818"
경동인베스트,143527,12320,2022,C,"586,813,597,619","136,105,199,735","14,709,420,695","16,108,052,906"
HDC,164636,12630,2022,C,"11,592,341,237,983","6,759,502,438,861","158,535,478,442","133,502,475,796"
화승코퍼레이션,166272,13520,2022,C,"1,177,218,098,360","926,620,108,676","43,168,338,185","31,765,330,189"
유니드,159786,14830,2022,B,"1,489,264,677,517","587,712,511,772","147,870,643,696","141,266,703,137"
예스코홀딩스,105101,15360,2022,B,"1,491,393,801,000","971,855,140,000","313,224,000","-6,857,913,000"
한국전력공사,159193,15760,2022,B,"234,804,994,000,000","192,804,738,000,000","-32,655,153,000,000","-33,843,619,000,000"
서울도시가스,130684,17390,2022,C,"1,871,342,447,045","818,373,686,144","3,324,640,638","22,506,025,659"
E1,165583,17940,2022,B+,"4,339,655,185,507","2,829,299,481,251","278,730,692,433","193,801,839,282"
한국카본,159795,17960,2022,C,"585,333,635,410","181,165,801,047","24,798,059,067","28,900,101,934"
한온시스템,161125,18880,2022,B,"9,098,783,327,544","6,728,917,210,972","256,590,023,453","97,168,085,854"
세아특수강,133991,19440,2022,B+,"690,192,115,483","340,157,547,667","28,815,275,301","23,259,060,558"
대교,108913,19680,2022,B,"666,723,788,672","262,333,648,796","-49,959,384,890","-107,697,076,412"
다우기술,176914,23590,2022,C,"49,260,008,742,513","44,071,595,509,884","718,687,487,393","744,926,029,245"
한국콜마홀딩스,203290,24720,2022,B+,"1,269,102,053,314","418,764,073,414","33,000,195,009","36,396,108,049"
팬오션,122737,28670,2022,B,"7,548,942,000,000","3,056,338,000,000","789,618,000,000","687,967,000,000"
제일기획,148276,30000,2022,A,"2,751,445,128,079","1,530,015,562,245","311,412,761,580","300,435,028,812"
LG디스플레이,105873,34220,2022,A,"35,686,019,000,000","24,366,792,000,000","-2,085,047,000,000","-3,433,370,000,000"
신세계건설,217947,34300,2022,B+,"1,035,610,953,877","751,891,779,268","-12,042,239,735","-17,714,387,020"
NICE,158316,34310,2022,B+,"3,378,563,521,222","2,058,288,743,565","145,242,618,665","107,785,938,003"
신세계I&C,219486,35510,2022,B+,"482,934,079,721","118,998,739,571","37,528,514,949","107,260,459,434"
한국가스공사,261285,36460,2022,B+,"62,424,983,096,053","52,014,242,784,013","2,463,421,952,045","1,945,247,668,119"
SNT홀딩스,225159,36530,2022,C,"2,558,426,986,621","742,131,375,499","144,692,982,304","166,935,921,690"
LG헬로비전,222532,37560,2022,A,"1,428,013,437,283","802,491,626,000","53,800,859,859","-13,650,566,674"
코스맥스비티아이,219574,44820,2022,B+,"936,136,657,462","610,374,632,435","3,400,294,229","-7,980,653,661"
동원F&B,340917,49770,2022,B,"2,071,710,810,838","1,187,905,520,148","128,699,824,345","118,562,121,878"
LG화학,356361,51910,2022,B,"67,973,823,000,000","30,492,696,000,000","2,995,698,000,000","2,812,551,000,000"
한전기술,159209,52690,2022,B+,"816,503,301,678","273,089,488,378","13,940,025,562","25,735,584,512"
테이팩스,256955,55490,2022,B+,"197,584,861,031","49,617,919,916","25,451,378,469","23,699,004,663"
세아홀딩스,377610,58650,2022,C,"5,919,958,905,229","2,915,366,415,560","196,126,337,931","207,816,045,297"
종근당바이오,390055,63160,2022,B+,"312,590,995,328","164,791,529,446","-14,810,343,537","-18,589,860,783"
셀트리온,413046,68270,2022,B,"5,891,652,311,251","1,617,448,041,462","647,198,174,586","626,173,376,626"
농심홀딩스,459871,72710,2022,C,"1,389,130,864,097","311,863,433,252","52,812,907,521","48,517,368,798"
금호타이어,481454,73240,2022,B+,"4,694,985,403,484","3,450,429,792,209","23,135,670,517","-84,043,708,970"
STX엔진,480455,77970,2022,C,"853,388,000,000","593,143,000,000","-8,816,000,000","-28,410,000,000"
에이블씨엔씨,400857,78520,2022,B,"195,431,756,905","79,356,396,676","9,975,863,944","6,338,112,513"
HDC현대EP,357935,89470,2022,C,"603,330,216,887","289,863,741,271","20,387,199,874","19,184,280,925"
제주항공,555874,89590,2022,B,"1,663,644,038,577","1,357,023,834,316","-177,502,073,624","-217,242,937,743"
