corp_code,부채총계,year
106623,"4,054,243,000,000",2021
164812,"1,344,552,871,653",2021
139889,"3,897,771,811,708",2021
164788,"16,125,063,000,000",2021
126566,"7,114,272,103,768",2021
158501,"530,076,697,754",2021
140955,"429,305,067,616",2021
159023,"18,576,139,000,000",2021
164724,"1,851,191,573,825",2021
139454,"85,261,290,651",2021
126186,"3,073,731,543,176",2021
144164,"3,004,172,079,944",2021
188089,"316,664,864,164",2021
170558,"1,896,190,300,581",2021
120526,"21,629,527,142,066",2021
203582,"154,814,151,821",2021
219097,"248,858,644,100",2021
126308,"4,098,204,678,539",2021
149655,"21,892,978,957,027",2021
234412,"439,493,173,788",2021
274933,"594,650,867,030",2021
231363,"11,411,957,000,000",2021
244455,"2,428,409,041,148",2021
255619,"574,480,852,474",2021
258801,"9,189,586,347,537",2021
261443,"1,430,662,643,098",2021
260408,"793,651,852,409",2021
220561,"106,474,734,847",2021
160232,"1,103,404,278,356",2021
124540,"7,241,599,093,010",2021
309503,"4,557,779,985,276",2021
356370,"2,057,406,606,361",2021
349097,"469,693,812,741",2021
413523,"141,130,569,432",2021
412597,"717,965,791,564",2021
